textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
f87dea47db,last session day http : //twitpic.com/67ezh,neutral,morning,0-20,Afghanistan,38928346.0,652860.0,60.0
96d74cb729,shanghai also really exciting ( precisely -- skyscrapers galore ) . good tweeps china : ( sh ) ( bj ) .,positive,noon,21-30,Albania,2877797.0,27400.0,105.0
eee518ae67,"recession hit veronique branquinho , quit company , shame !",negative,night,31-45,Algeria,43851044.0,2381740.0,18.0
01082688c6,happy bday !,positive,morning,46-60,Andorra,77265.0,470.0,164.0
33987a8ee5,http : //twitpic.com/4w75p - like ! !,positive,noon,60-70,Angola,32866272.0,1246700.0,26.0
726e501993,` great ! ! weee ! ! visitors !,positive,night,70-100,Antigua and Barbuda,97929.0,440.0,223.0
261932614e,think everyone hates lol,negative,morning,0-20,Argentina,45195774.0,2736690.0,17.0
afa11da83f,"soooooo wish could , im school myspace completely blocked",negative,noon,21-30,Armenia,2963243.0,28470.0,104.0
e64208b4ef,within short time last clue,neutral,night,31-45,Australia,25499884.0,7682300.0,3.0
37bcad24ca,get ? day alright .. ` done anything yet . leaving soon stepsister though !,neutral,morning,46-60,Austria,9006398.0,82400.0,109.0
24c92644a4,bike put hold ... known .... argh total bummer,negative,noon,60-70,Azerbaijan,10139177.0,82658.0,123.0
43b390b336,checked . ` win,neutral,night,70-100,Bahamas,393244.0,10010.0,39.0
69d6b5d93e,.. ` twitter ! tavern bore much ?,neutral,morning,0-20,Bahrain,1701575.0,760.0,2239.0
5c1e0b61a1,"` va weekend , youngest son turns 2 tomorrow ...... makes kinda sad , getting big , check twipics",negative,noon,21-30,Bangladesh,164689383.0,130170.0,1265.0
504e45d9d9,coming socket feel like phones hole virgin . ` loose ... : ` (,negative,night,31-45,Barbados,287375.0,430.0,668.0
ae93ad52a0,"hot today =_= ` like hate new timetable , bad week",negative,morning,46-60,Belarus,9449323.0,202910.0,47.0
9fce30159a,miss,negative,noon,60-70,Belgium,11589623.0,30280.0,383.0
00d5195223,cramps . . .,negative,night,70-100,Belize,397628.0,22810.0,17.0
33f19050cf,guys ` say hi answer questions yesterday nice songs .,positive,morning,0-20,Benin,12123200.0,112760.0,108.0
f7718b3c23,"` going spiritual stagnentation , exploding ego ! . realise , ` great . ` ok .",neutral,noon,21-30,Bhutan,771608.0,38100.0,20.0
9ef44428d0,stupid storm . river us tonight,negative,night,31-45,Bolivia,11673021.0,1083300.0,11.0
be634ebeb0,dead grandpa pays attention,negative,morning,46-60,Bosnia and Herzegovina,3280819.0,51000.0,64.0
3dcf4f7e13,"... need retail therapy , bad . ahhh ..... gim money geebus",negative,noon,60-70,Botswana,2351627.0,566730.0,4.0
f0ef04109b,go sleep,neutral,night,70-100,Brazil,212559417.0,8358140.0,25.0
8be365118e,lame go make breakfast ! !,negative,morning,0-20,Brunei,437479.0,5270.0,83.0
c50bdd4567,thats cool,positive,noon,21-30,Bulgaria,6948445.0,108560.0,64.0
334954f215,"hey peoples , dont hate grounded haha , im sat eating apple watching death note ( anime )",neutral,night,31-45,Burkina Faso,20903273.0,273600.0,76.0
b783916431,"huh , another scarepoint coding sunday",neutral,morning,46-60,Burundi,11890784.0,25680.0,463.0
1fa8e6ad66,look found -- - > http : //twitter.com/djt2009,positive,noon,60-70,Côte d'Ivoire,26378274.0,318000.0,83.0
be38b29042,"ac , fan doesnt swing way ... sweating hot humid day",negative,night,70-100,Cabo Verde,555987.0,4030.0,138.0
95701e8ed9,guess depends want jury,neutral,morning,0-20,Cambodia,16718965.0,176520.0,95.0
4dd58ecd2c,resorted eating mickey ds alone .,neutral,noon,21-30,Cameroon,26545863.0,472710.0,56.0
cf553cccd5,"faux gothy chick looking , sorry going camden like pop-punk jimmy eat world",neutral,night,31-45,Canada,37742154.0,9093510.0,4.0
55c69c2d52,ask twitter id ? sun sign ?,neutral,morning,46-60,Central African Republic,4829767.0,622980.0,8.0
9b1a52cc02,` go !,neutral,noon,60-70,Chad,16425864.0,1259200.0,13.0
cce5c4744a,watching body lies ... good film,positive,night,70-100,Chile,19116201.0,743532.0,26.0
c7f9d559e2,happy mothers day mumm xoxo,positive,morning,0-20,China,1439323776.0,9388211.0,153.0
3d2478db59,really need put laptop & start getting ready shindig ... ` missed twitterloves day,neutral,noon,21-30,Colombia,50882891.0,1109500.0,46.0
6d846d7d50,` sorry least ` friday ?,negative,night,31-45,Comoros,869601.0,1861.0,467.0
599f51af6b,"feels sorry every time ` printing , use like 200 new papers",negative,morning,46-60,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0
87daa62920,4n ? rog never heard esti beat acum ? u tweet much,negative,noon,60-70,Costa Rica,5094118.0,51060.0,100.0
6506dc55ff,always forget something travel . newark airport .,neutral,night,70-100,Croatia,4105267.0,55960.0,73.0
746d87f93e,left car walked home ! might need someone rescue petrol ! light flashing,neutral,morning,0-20,Cuba,11326616.0,106440.0,106.0
ef7ef8e474,` updating brett ` phone beeps really .. looking wedding stuff . again.for next five months .,neutral,noon,21-30,Cyprus,1207359.0,9240.0,131.0
d3d7b13278,"hi . agree ! small children running happy , breaking tears",positive,night,31-45,Czechia (Czech Republic),10708981.0,77240.0,139.0
ddc07db84e,hope ur havin fun da club,positive,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0
67afe60d31,miss old phone worked good dropped want new one birthday ...,neutral,noon,60-70,Denmark,5792202.0,42430.0,137.0
17d18ba9ef,thinks sg wonderful,positive,night,70-100,Djibouti,988000.0,23180.0,43.0
ab57d75f20,im really sorry know wallah u feel life shittttttttt,negative,morning,0-20,Dominica,71986.0,750.0,96.0
f0acd25d8e,happy,negative,noon,21-30,Dominican Republic,10847910.0,48300.0,225.0
cf3b068b03,watching acoustic performances ! & mood good 'friends ' episode ! miss show,neutral,night,31-45,Ecuador,17643054.0,248360.0,71.0
